queue_id,tier,in_flight_threshold_override
checkout.order-confirm,critical,
checkout.order-submit,critical,
fraud.case-review,standard,
fraud.model-retrain,standard,
fraud.score-requests,critical,
identity.kyc-checks,standard,2000
identity.login-otp,standard,
identity.session-validate,critical,
inventory.price-sync,standard,
inventory.restock-feed,standard,
inventory.stock-reserve,critical,2500
legacy.order-sync,critical,
payments.charge-commands,critical,
payments.receipt-emails,standard,
payments.refund-commands,critical,1500
payments.settlement-report,standard,
payouts.fx-quotes,critical,
payouts.transfer-instructions,critical,
search.autocomplete-requests,critical,
search.index-updates,standard,
wallet.balance-query,critical,
wallet.cashback-accrual,critical,
