queue_id,sampled_at,messages_ready,messages_unacked,in_flight,publish_rate_per_min,deliver_rate_per_min,ack_rate_per_min,eta_drain_min,bp_armed,publisher_flow
checkout.order-submit,2026-09-17T01:50Z,700,450,450,900,1200,1150,2.3,no,running
checkout.order-confirm,2026-09-17T01:50Z,300,600,600,800,1100,850,1.0,no,running
checkout.coupon-validate,2026-09-17T01:50Z,300,50,50,500,560,540,5.0,no,running
payments.charge-commands,2026-09-17T01:50Z,2600,900,900,500,850,800,7.4,yes,flow
payments.refund-commands,2026-09-17T01:50Z,200,1100,1100,30,160,120,1.5,no,running
payments.receipt-emails,2026-09-17T01:50Z,0,900,900,40,40,40,,no,running
payments.settlement-report,2026-09-17T01:50Z,0,0,0,0,0,0,,no,running
payouts.transfer-instructions,2026-09-17T01:50Z,7000,1000,1000,1500,1300,1200,,yes,running
payouts.fx-quotes,2026-09-17T01:50Z,100,750,750,400,480,430,1.2,no,running
search.autocomplete-requests,2026-09-17T01:50Z,900,700,700,450,650,600,4.5,yes,running
search.index-updates,2026-09-17T01:50Z,6800,400,400,800,950,900,45.3,no,running
search.synonym-reload,2026-09-17T01:50Z,20,0,0,0,5,5,4.0,no,running
identity.session-validate,2026-09-17T01:50Z,500,600,600,5000,5200,5100,2.5,no,flow
identity.login-otp,2026-09-17T01:50Z,3000,2400,2400,800,950,900,20.0,no,running
identity.kyc-checks,2026-09-17T01:50Z,1200,1000,1000,120,200,170,15.0,no,running
fraud.score-requests,2026-09-17T01:50Z,0,400,400,420,420,420,,no,running
fraud.model-retrain,2026-09-17T01:50Z,5900,300,300,700,800,760,59.0,no,running
fraud.case-review,2026-09-17T01:50Z,2000,1500,1500,60,200,100,14.3,no,running
inventory.stock-reserve,2026-09-17T01:50Z,1000,1200,1200,620,850,800,4.3,no,running
inventory.restock-feed,2026-09-17T01:50Z,100,200,200,10,40,30,3.3,no,running
inventory.price-sync,2026-09-17T01:50Z,50,600,600,210,260,200,1.0,no,running
notify.email-digest,2026-09-17T01:50Z,11500,500,500,900,750,700,,yes,blocked
wallet.cashback-accrual,2026-09-17T01:50Z,1500,300,300,150,320,300,8.8,yes,running
wallet.balance-query,2026-09-17T01:50Z,300,700,700,2000,2150,2100,2.0,no,running
