queue_id,sampled_at,in_flight_count,publish_rate_per_min,ack_rate_per_min,dashboard_health,dashboard_burst_hint
checkout.order-submit,2026-09-17T01:36:00Z,2400,760,900,amber,false
checkout.order-confirm,2026-09-17T01:36:30Z,1350,1000,1300,amber,false
checkout.abandoned-cart-emails,2026-09-17T01:37:10Z,800,40,60,green,false
checkout.coupon-validate,2026-09-17T01:37:40Z,300,500,520,green,false
fraud.score-requests,2026-09-17T01:38:20Z,1400,420,500,amber,false
fraud.score-replies,2026-09-17T01:38:50Z,1000,880,950,amber,false
payments.charge-commands,2026-09-17T01:39:00Z,3100,1150,1400,amber,false
fraud.case-review,2026-09-17T01:39:30Z,1900,60,110,amber,false
payments.refund-commands,2026-09-17T01:40:10Z,450,20,45,green,false
payments.receipt-emails,2026-09-17T01:40:40Z,2600,300,380,amber,false
payments.chargeback-events,2026-09-17T01:41:10Z,700,35,30,green,false
payouts.transfer-instructions,2026-09-17T01:42:00Z,8000,1500,1200,red,true
payouts.fx-rate-fetch,2026-09-17T01:42:30Z,600,20,40,green,false
payouts.fx-quotes,2026-09-17T01:43:00Z,700,400,430,green,false
devices.reputation-lookup,2026-09-17T01:44:00Z,800,200,250,green,false
search.synonym-reload,2026-09-17T01:44:30Z,20,0,5,green,false
checkout.analytics-events,2026-09-17T01:45:00Z,4200,230,300,amber,false
identity.login-otp,2026-09-17T01:45:30Z,1200,800,850,amber,false
identity.password-reset-emails,2026-09-17T01:46:00Z,350,30,30,green,false
identity.kyc-checks,2026-09-17T01:46:40Z,2100,120,170,amber,false
support.ticket-lookup,2026-09-17T01:47:10Z,1150,400,450,amber,false
payments.refund-status,2026-09-17T01:47:40Z,5000,300,400,red,false
reports.priority-exports,2026-09-17T01:48:10Z,3400,330,400,amber,false
fraud.audit-trail,2026-09-17T01:48:40Z,900,10,25,green,false
search.autocomplete-requests,2026-09-17T01:49:00Z,1600,450,600,amber,false
identity.session-validate,2026-09-17T01:50:00Z,1300,5000,5600,amber,false
inventory.stock-reserve,2026-09-17T01:51:00Z,2200,620,800,amber,false
inventory.restock-feed,2026-09-17T01:51:30Z,5300,400,520,red,false
search.index-updates,2026-09-17T01:52:00Z,7200,800,900,red,true
inventory.price-sync,2026-09-17T01:52:30Z,650,210,200,green,false
inventory.reservation-events,2026-09-17T01:53:00Z,1400,300,370,amber,false
notify.email-digest,2026-09-17T01:53:20Z,12000,900,700,red,true
ledger.balance-snapshot,2026-09-17T01:53:30Z,1100,900,1000,amber,false
wallet.topup-commands,2026-09-17T01:54:00Z,900,300,350,green,false
wallet.cashback-accrual,2026-09-17T01:55:00Z,1800,150,300,amber,true
wallet.statement-emails,2026-09-17T01:55:30Z,5400,50,60,red,true
fraud.model-retrain,2026-09-17T01:58:00Z,6200,700,760,red,false
wallet.balance-query,2026-09-17T02:03:00Z,1150,2000,2400,amber,false
reports.finance-daily,2026-09-17T02:05:00Z,9000,100,90,red,false
payments.settlement-report,2026-09-17T02:12:00Z,5600,200,180,red,true
