queue_id,tier,in_flight_load,finding
checkout.order-submit,critical,1150,BACKPRESSURE_THRESHOLD_EXCEEDED
checkout.order-confirm,critical,900,DRAIN_TIME_EXCEEDED
checkout.coupon-validate,,350,NO_BACKPRESSURE_CONFIGURED
payments.charge-commands,critical,3500,none
payments.refund-commands,critical,1300,none
payments.receipt-emails,standard,900,DRAIN_TIME_EXCEEDED
payments.settlement-report,standard,0,none
payouts.transfer-instructions,critical,8000,none
payouts.fx-quotes,critical,850,DRAIN_TIME_EXCEEDED
search.autocomplete-requests,critical,1600,BACKPRESSURE_THRESHOLD_EXCEEDED
search.index-updates,standard,7200,BACKPRESSURE_THRESHOLD_EXCEEDED
search.synonym-reload,,20,NO_BACKPRESSURE_CONFIGURED
identity.session-validate,critical,1100,none
identity.login-otp,standard,5400,BACKPRESSURE_THRESHOLD_EXCEEDED
identity.kyc-checks,standard,2200,BACKPRESSURE_THRESHOLD_EXCEEDED
fraud.score-requests,critical,400,DRAIN_TIME_EXCEEDED
fraud.model-retrain,standard,6200,BACKPRESSURE_THRESHOLD_EXCEEDED
fraud.case-review,standard,3500,DRAIN_TIME_EXCEEDED
inventory.stock-reserve,critical,2200,none
inventory.restock-feed,standard,300,none
inventory.price-sync,standard,650,DRAIN_TIME_EXCEEDED
notify.email-digest,,12000,NO_BACKPRESSURE_CONFIGURED
wallet.cashback-accrual,critical,1800,BACKPRESSURE_THRESHOLD_EXCEEDED
wallet.balance-query,critical,1000,none
