deal_id,source_report,customer_id,customer_type,reported_rate_pct,revenue_usd,netsuite_matched
DEAL-001,PartnerB,CUST-001,renewal,4,11370,yes
DEAL-002,PartnerC,CUST-002,house,0,12740,yes
DEAL-003,PartnerD,CUST-003,new,8,14110,yes
DEAL-004,PartnerE,CUST-004,renewal,4,15480,yes
DEAL-005,PartnerA,CUST-005,house,0,16850,yes
DEAL-006,PartnerB,CUST-006,new,8,18220,yes
DEAL-007,PartnerC,CUST-007,renewal,4,19590,yes
DEAL-008,PartnerD,CUST-008,house,0,20960,yes
DEAL-009,PartnerE,CUST-009,new,8,22330,yes
DEAL-010,PartnerA,CUST-010,renewal,4,23700,yes
DEAL-011,PartnerB,CUST-011,house,0,25070,yes
DEAL-012,PartnerC,CUST-012,new,8,26440,yes
DEAL-013,PartnerD,CUST-013,renewal,4,27810,yes
DEAL-014,PartnerE,CUST-014,house,0,29180,yes
DEAL-015,PartnerA,CUST-015,new,8,30550,yes
DEAL-016,PartnerB,CUST-016,renewal,4,31920,yes
DEAL-017,PartnerC,CUST-017,house,0,33290,yes
DEAL-018,PartnerD,CUST-018,new,8,34660,yes
DEAL-019,PartnerE,CUST-019,renewal,4,36030,yes
DEAL-020,PartnerA,CUST-020,house,0,37400,yes
DEAL-021,PartnerB,CUST-021,new,8,38770,yes
DEAL-022,PartnerC,CUST-022,renewal,4,40140,yes
DEAL-023,PartnerD,CUST-023,house,0,41510,yes
DEAL-024,PartnerE,CUST-024,new,8,42880,yes
DEAL-025,PartnerA,CUST-025,renewal,4,44250,yes
DEAL-026,PartnerB,CUST-026,house,0,45620,yes
DEAL-027,PartnerC,CUST-027,new,8,46990,yes
DEAL-028,PartnerD,CUST-028,renewal,4,48360,yes
DEAL-029,PartnerE,CUST-029,house,0,49730,yes
DEAL-030,PartnerA,CUST-030,new,8,51100,yes
DEAL-031,PartnerB,CUST-031,renewal,4,52470,yes
DEAL-032,PartnerC,CUST-032,house,0,53840,yes
DEAL-033,PartnerD,CUST-033,new,8,55210,yes
DEAL-034,PartnerE,CUST-034,renewal,4,56580,yes
DEAL-035,PartnerA,CUST-035,house,0,57950,yes
DEAL-036,PartnerB,CUST-036,new,8,59320,yes
DEAL-037,PartnerC,CUST-037,renewal,4,60690,yes
DEAL-038,PartnerD,CUST-038,house,0,62060,yes
DEAL-039,PartnerE,CUST-039,new,8,63430,yes
DEAL-040,PartnerA,CUST-040,renewal,4,64800,yes
DEAL-041,PartnerB,CUST-041,house,0,66170,yes
DEAL-042,PartnerC,CUST-042,new,8,67540,yes
DEAL-043,PartnerD,CUST-043,renewal,4,68910,yes
DEAL-044,PartnerE,CUST-044,house,0,70280,yes
DEAL-045,PartnerA,CUST-045,new,8,71650,yes
DEAL-046,PartnerB,CUST-046,renewal,4,73020,yes
DEAL-047,PartnerC,CUST-047,house,0,74390,yes
DEAL-048,PartnerD,CUST-048,new,8,75760,yes
DEAL-049,PartnerE,CUST-049,renewal,4,77130,yes
DEAL-050,PartnerA,CUST-050,house,0,78500,yes
DEAL-051,PartnerB,CUST-051,new,8,79870,yes
DEAL-052,PartnerC,CUST-052,renewal,4,81240,yes
DEAL-053,PartnerD,CUST-053,house,0,82610,yes
DEAL-054,PartnerE,CUST-054,new,8,83980,yes
DEAL-055,PartnerA,CUST-055,renewal,4,85350,yes
DEAL-056,PartnerB,CUST-056,house,0,86720,yes
DEAL-057,PartnerC,CUST-057,new,8,88090,yes
DEAL-058,PartnerD,CUST-058,renewal,4,89460,yes
DEAL-059,PartnerE,CUST-059,house,0,90830,yes
DEAL-060,PartnerA,CUST-060,new,8,92200,yes
DEAL-061,PartnerB,CUST-061,new,6,74900,yes
DEAL-062,PartnerC,CUST-062,renewal,8,75800,yes
DEAL-063,PartnerD,CUST-063,house,4,76700,yes
DEAL-064,PartnerE,CUST-064,new,4,77600,yes
DEAL-065,PartnerA,CUST-065,renewal,6,78500,yes
DEAL-066,PartnerB,CUST-066,house,8,79400,yes
DEAL-067,PartnerC,CUST-067,new,10,80300,yes
DEAL-068,PartnerD,CUST-068,renewal,2,81200,yes
DEAL-069,PartnerE,CUST-069,new,8,80200,no
DEAL-070,PartnerA,CUST-070,renewal,4,81000,no
DEAL-071,PartnerB,CUST-071,new,8,81800,no
DEAL-072,PartnerC,CUST-072,renewal,4,82600,no
DEAL-073,PartnerD,CUST-073,house,0,48500,no
DEAL-074,PartnerE,CUST-074,house,0,49000,no
DEAL-075,PartnerB,CUST-075,new,0,41000,no
DEAL-076,PartnerA,CUST-076,new,8,60000,yes
DEAL-076,PartnerC,CUST-077,new,8,60000,yes
DEAL-077,PartnerB,CUST-078,renewal,4,32000,yes
DEAL-077,PartnerD,CUST-079,renewal,4,32000,yes
DEAL-077,PartnerE,CUST-080,renewal,4,32000,yes
DEAL-078,PartnerA,CUST-081,new,6,45000,yes
DEAL-078,PartnerE,CUST-082,new,6,45000,yes
DEAL-079,PartnerC,CUST-083,renewal,4,28000,no
DEAL-079,PartnerD,CUST-084,renewal,4,28000,yes
DEAL-080,PartnerB,CUST-085,renewal,6,35000,yes
DEAL-081,PartnerA,CUST-086,new,12,70000,yes
DEAL-082,PartnerC,CUST-087,renewal,6,26000,yes
DEAL-083,PartnerD,CUST-088,new,6,38000,yes
DEAL-084,PartnerE,CUST-089,new,8,52000,yes
DEAL-085,PartnerA,CUST-090,house,3,16000,yes
DEAL-086,PartnerB,CUST-091,house,3,18000,no
