revenue_record_id,deal_id,recognized_usd,period
REV-0001,DEAL-001,"$11,370",2026-06
REV-0002,DEAL-002,"$12,740",2026-06
REV-0003,DEAL-003,"$14,110",2026-06
REV-0004,DEAL-004,"$15,480",2026-06
REV-0005,DEAL-005,"$16,850",2026-06
REV-0006,DEAL-006,"$18,220",2026-06
REV-0007,DEAL-007,"$19,590",2026-06
REV-0008,DEAL-008,"$20,960",2026-06
REV-0009,DEAL-009,"$22,330",2026-06
REV-0010,DEAL-010,"$23,700",2026-06
REV-0011,DEAL-011,"$25,070",2026-06
REV-0012,DEAL-012,"$26,440",2026-06
REV-0013,DEAL-013,"$27,810",2026-06
REV-0014,DEAL-014,"$29,180",2026-06
REV-0015,DEAL-015,"$30,550",2026-06
REV-0016,DEAL-016,"$31,920",2026-06
REV-0017,DEAL-017,"$33,290",2026-06
REV-0018,DEAL-018,"$34,660",2026-06
REV-0019,DEAL-019,"$36,030",2026-06
REV-0020,DEAL-020,"$37,400",2026-06
REV-0021,DEAL-021,"$38,770",2026-06
REV-0022,DEAL-022,"$40,140",2026-06
REV-0023,DEAL-023,"$41,510",2026-06
REV-0024,DEAL-024,"$42,880",2026-06
REV-0025,DEAL-025,"$44,250",2026-06
REV-0026,DEAL-026,"$45,620",2026-06
REV-0027,DEAL-027,"$46,990",2026-06
REV-0028,DEAL-028,"$48,360",2026-06
REV-0029,DEAL-029,"$49,730",2026-06
REV-0030,DEAL-030,"$51,100",2026-06
REV-0031,DEAL-031,"$52,470",2026-06
REV-0032,DEAL-032,"$53,840",2026-06
REV-0033,DEAL-033,"$55,210",2026-06
REV-0034,DEAL-034,"$56,580",2026-06
REV-0035,DEAL-035,"$57,950",2026-06
REV-0036,DEAL-036,"$59,320",2026-06
REV-0037,DEAL-037,"$60,690",2026-06
REV-0038,DEAL-038,"$62,060",2026-06
REV-0039,DEAL-039,"$63,430",2026-06
REV-0040,DEAL-040,"$64,800",2026-06
REV-0041,DEAL-041,"$66,170",2026-06
REV-0042,DEAL-042,"$67,540",2026-06
REV-0043,DEAL-043,"$68,910",2026-06
REV-0044,DEAL-044,"$70,280",2026-06
REV-0045,DEAL-045,"$71,650",2026-06
REV-0046,DEAL-046,"$73,020",2026-06
REV-0047,DEAL-047,"$74,390",2026-06
REV-0048,DEAL-048,"$75,760",2026-06
REV-0049,DEAL-049,"$77,130",2026-06
REV-0050,DEAL-050,"$78,500",2026-06
REV-0051,DEAL-051,"$79,870",2026-06
REV-0052,DEAL-052,"$81,240",2026-06
REV-0053,DEAL-053,"$82,610",2026-06
REV-0054,DEAL-054,"$83,980",2026-06
REV-0055,DEAL-055,"$85,350",2026-06
REV-0056,DEAL-056,"$86,720",2026-06
REV-0057,DEAL-057,"$88,090",2026-06
REV-0058,DEAL-058,"$89,460",2026-06
REV-0059,DEAL-059,"$90,830",2026-06
REV-0060,DEAL-060,"$92,200",2026-06
REV-0061,DEAL-061,"$74,900",2026-06
REV-0062,DEAL-062,"$75,800",2026-06
REV-0063,DEAL-063,"$76,700",2026-06
REV-0064,DEAL-064,"$77,600",2026-06
REV-0065,DEAL-065,"$78,500",2026-06
REV-0066,DEAL-066,"$79,400",2026-06
REV-0067,DEAL-067,"$80,300",2026-06
REV-0068,DEAL-068,"$81,200",2026-06
REV-0069,DEAL-071,"$81,800",2026-05
REV-0070,DEAL-072,"$82,600",2026-05
REV-0071,DEAL-075,"$41,000",2026-05
REV-0072,DEAL-076,"$60,000",2026-06
REV-0073,DEAL-077,"$32,000",2026-06
REV-0074,DEAL-078,"$45,000",2026-06
REV-0075,DEAL-080,"$35,000",2026-06
REV-0076,DEAL-081,"$70,000",2026-06
REV-0077,DEAL-082,"$26,000",2026-06
REV-0078,DEAL-083,"$38,000",2026-06
REV-0079,DEAL-084,"$52,000",2026-06
REV-0080,DEAL-085,"$16,000",2026-06
REV-0081,DEAL-087,"$47,000",2026-06
REV-0082,DEAL-088,"$50,000",2026-06
REV-0083,DEAL-088,"($50,000)",2026-06
REV-0084,DEAL-089,"$30,000",2026-06
REV-0085,DEAL-089,"($12,000)",2026-06
REV-0086,DEAL-099,"$31,000",2026-06
REV-0087,DEAL-120,"$18,500",2026-06
REV-0088,DEAL-121,"$22,400",2026-05
