deal_id,source_report,finding_code
DEAL-061,PartnerB,RATE_MISMATCH
DEAL-062,PartnerC,RATE_MISMATCH
DEAL-063,PartnerD,RATE_MISMATCH
DEAL-064,PartnerE,RATE_MISMATCH
DEAL-065,PartnerA,RATE_MISMATCH
DEAL-066,PartnerB,RATE_MISMATCH
DEAL-067,PartnerC,RATE_MISMATCH
DEAL-068,PartnerD,RATE_MISMATCH
DEAL-069,PartnerE,UNMATCHED_TO_LEDGER
DEAL-070,PartnerA,UNMATCHED_TO_LEDGER
DEAL-071,PartnerB,UNMATCHED_TO_LEDGER
DEAL-072,PartnerC,UNMATCHED_TO_LEDGER
DEAL-075,PartnerB,RATE_MISMATCH
DEAL-075,PartnerB,UNMATCHED_TO_LEDGER
DEAL-076,PartnerA,DUPLICATE_LINE
DEAL-076,PartnerC,DUPLICATE_LINE
DEAL-077,PartnerB,DUPLICATE_LINE
DEAL-077,PartnerD,DUPLICATE_LINE
DEAL-077,PartnerE,DUPLICATE_LINE
DEAL-078,PartnerA,RATE_MISMATCH
DEAL-078,PartnerA,DUPLICATE_LINE
DEAL-078,PartnerE,RATE_MISMATCH
DEAL-078,PartnerE,DUPLICATE_LINE
DEAL-079,PartnerC,UNMATCHED_TO_LEDGER
DEAL-079,PartnerC,DUPLICATE_LINE
DEAL-079,PartnerD,UNMATCHED_TO_LEDGER
DEAL-079,PartnerD,DUPLICATE_LINE
DEAL-082,PartnerC,RATE_MISMATCH
DEAL-083,PartnerD,RATE_MISMATCH
DEAL-086,PartnerB,UNMATCHED_TO_LEDGER
DEAL-087,PartnerD,RATE_MISMATCH
DEAL-088,PartnerC,UNMATCHED_TO_LEDGER
