cited_section,record_on_file,batch,received_on
AG-301,yes,B-1,2026-05-04
AG-302,yes,B-2,2026-05-04
AG-303,no,B-3,2026-05-04
AG-304,yes,B-1,2026-05-04
AG-305,yes,B-2,2026-05-04
AG-306,yes,B-3,2026-05-04
AG-307,yes,B-1,2026-05-04
AG-308,yes,B-2,2026-05-04
AG-310,yes,B-3,2026-05-04
AG-311,yes,B-1,2026-05-04
AG-399,no,B-2,2026-05-04
BR-201,yes,B-3,2026-05-04
BR-202,yes,B-1,2026-05-04
BR-205,yes,B-2,2026-05-04
BR-206,yes,B-3,2026-05-04
BR-207,yes,B-1,2026-05-04
BR-208,yes,B-2,2026-05-04
BR-209,yes,B-3,2026-05-04
BR-210,yes,B-1,2026-05-04
BR-211,yes,B-2,2026-05-04
BR-216,yes,B-3,2026-05-04
BR-217,yes,B-1,2026-05-04
BR-298,no,B-2,2026-05-04
BR-299,no,B-3,2026-05-04
