context_id,every_server_is_holder_employee,store_holds_own_permit,tasting_open_to_public,event_inside_licensed_area,product_sold_at_event,brand_products_only,containers_sealed_on_arrival,inside_permitted_hours
CX-201,no,yes,yes,yes,no,yes,yes,yes
CX-202,no,yes,yes,yes,no,yes,yes,yes
CX-203,no,yes,yes,yes,no,yes,yes,yes
CX-204,no,yes,yes,yes,no,yes,yes,yes
CX-205,no,yes,yes,yes,no,yes,yes,yes
CX-206,no,yes,yes,yes,no,yes,yes,yes
CX-207,no,yes,yes,yes,no,yes,yes,yes
CX-208,no,yes,yes,yes,no,yes,yes,yes
CX-209,no,yes,yes,yes,no,yes,yes,yes
CX-210,no,yes,yes,yes,no,yes,yes,yes
CX-211,no,yes,yes,yes,no,yes,yes,yes
CX-212,yes,yes,yes,yes,no,yes,yes,yes
CX-213,no,yes,yes,yes,no,yes,yes,yes
CX-214,no,yes,yes,yes,no,yes,yes,yes
CX-215,no,yes,yes,yes,no,yes,yes,yes
CX-216,no,yes,yes,yes,no,yes,yes,yes
CX-217,no,yes,yes,yes,no,yes,yes,yes
CX-218,no,yes,yes,yes,no,yes,yes,yes
CX-219,yes,yes,yes,yes,no,yes,yes,yes
CX-220,no,yes,yes,yes,no,yes,yes,yes
CX-221,no,yes,yes,yes,no,yes,yes,yes
CX-222,no,yes,yes,no,no,yes,yes,yes
CX-223,no,no,yes,yes,no,yes,yes,yes
CX-224,no,yes,yes,yes,no,yes,yes,yes
CX-225,no,yes,yes,yes,no,yes,yes,yes
CX-226,no,yes,no,yes,no,yes,yes,yes
CX-227,no,yes,yes,yes,no,yes,yes,yes
CX-228,no,yes,yes,yes,no,yes,yes,yes
CX-229,no,yes,yes,yes,no,yes,yes,yes
CX-230,no,yes,yes,yes,no,yes,yes,yes
CX-231,no,yes,yes,yes,no,yes,yes,yes
CX-232,no,yes,yes,yes,no,yes,yes,yes
CX-233,no,yes,yes,yes,no,yes,yes,yes
CX-234,no,yes,yes,yes,no,yes,yes,yes
CX-235,no,yes,yes,yes,no,yes,yes,yes
CX-236,no,yes,yes,yes,no,yes,yes,yes
CX-237,no,yes,yes,yes,no,yes,yes,yes
CX-238,no,yes,yes,yes,no,yes,yes,yes
CX-239,no,yes,yes,yes,no,yes,yes,yes
