item_id,mention_count,status,governing_section
IT-101,2,SUPPORTED,BR-201
IT-102,1,SUPPORTED,BR-203
IT-103,2,CONTRADICTED,BR-218
IT-104,1,SUPPORTED,BR-207
IT-105,1,SUPPORTED,BR-210
IT-106,2,CONTRADICTED,AG-311
IT-107,1,SUPPORTED,AG-306
IT-108,2,CONTRADICTED,BR-209
IT-109,1,SUPPORTED,BR-211
IT-110,3,CONTRADICTED,BR-202
IT-111,1,UNSUPPORTED,NONE
IT-112,1,SUPPORTED,BR-202
IT-113,1,SUPPORTED,BR-206
IT-114,2,CONTRADICTED,BR-216
IT-115,1,SUPPORTED,BR-204
IT-116,2,CONTRADICTED,AG-304
IT-117,1,SUPPORTED,BR-208
IT-118,2,CONTRADICTED,AG-308
IT-119,1,CONTRADICTED,BR-208
IT-120,2,SUPPORTED,AG-307
IT-121,1,SUPPORTED,BR-217
IT-122,1,CONTRADICTED,AG-307
IT-123,2,SUPPORTED,BR-205
IT-124,1,CONTRADICTED,BR-205
IT-125,2,SUPPORTED,AG-305
IT-126,1,CONTRADICTED,AG-305
IT-127,1,UNSUPPORTED,NONE
IT-128,2,UNSUPPORTED,NONE
IT-129,1,UNSUPPORTED,NONE
IT-130,1,UNSUPPORTED,NONE
IT-131,2,UNSUPPORTED,NONE
IT-132,1,SUPPORTED,AG-310
IT-133,1,UNSUPPORTED,NONE
IT-134,2,UNSUPPORTED,NONE
IT-135,1,UNSUPPORTED,NONE
IT-136,2,SUPPORTED,NONE
IT-137,1,SUPPORTED,NONE
IT-138,1,SUPPORTED,NONE
IT-139,1,CONTRADICTED,BR-210
